,date,steps,kcal
275,2024-01-01,0,0
276,2024-01-02,10,0
277,2024-01-03,3710,111
278,2024-01-04,14275,428
279,2024-01-05,2370,71
280,2024-01-06,14818,445
281,2024-01-07,2737,82
282,2024-01-08,6812,204
283,2024-01-09,3932,118
284,2024-01-10,4274,128
285,2024-01-11,7968,239
286,2024-01-12,13876,416
287,2024-01-13,8726,262
288,2024-01-14,10396,312
289,2024-01-15,7395,222
290,2024-01-16,9118,274
291,2024-01-17,5705,171
292,2024-01-18,1307,39
293,2024-01-19,2520,76
294,2024-01-20,10431,313
295,2024-01-21,6017,181
296,2024-01-22,12259,368
297,2024-01-23,14885,447
298,2024-01-24,3090,93
299,2024-01-25,10373,311
300,2024-01-26,2009,60
301,2024-01-27,6225,187
302,2024-01-28,7997,240
303,2024-01-29,123,4
304,2024-01-30,3905,117
305,2024-01-31,8155,245
