,date,steps,kcal
335,2023-03-01,2937,88
336,2023-03-02,8225,247
337,2023-03-03,3320,100
338,2023-03-04,1307,39
339,2023-03-05,4493,135
340,2023-03-06,12554,377
341,2023-03-07,13197,396
342,2023-03-08,1102,33
343,2023-03-09,4876,146
344,2023-03-10,1191,36
345,2023-03-11,2504,75
346,2023-03-12,4221,127
347,2023-03-13,14368,431
348,2023-03-14,7123,214
349,2023-03-15,3342,100
350,2023-03-16,13664,410
351,2023-03-17,14673,440
352,2023-03-18,3590,108
353,2023-03-19,13911,417
354,2023-03-20,5535,166
355,2023-03-21,12973,389
356,2023-03-22,8790,264
357,2023-03-23,9181,275
358,2023-03-24,5851,176
359,2023-03-25,5521,166
360,2023-03-26,12808,384
361,2023-03-27,5121,154
362,2023-03-28,485,15
363,2023-03-29,7686,231
364,2023-03-30,10844,325
365,2023-03-31,4702,141
