,date,steps,kcal
30,2023-05-01,2380,71
31,2023-05-02,12565,377
32,2023-05-03,32,1
33,2023-05-04,13075,392
34,2023-05-05,12069,362
35,2023-05-06,12440,373
36,2023-05-07,1054,32
37,2023-05-08,12803,384
38,2023-05-09,7781,233
39,2023-05-10,6564,197
40,2023-05-11,271,8
41,2023-05-12,9661,290
42,2023-05-13,12549,376
43,2023-05-14,8393,252
44,2023-05-15,10749,322
45,2023-05-16,5848,175
46,2023-05-17,11054,332
47,2023-05-18,10000,300
48,2023-05-19,10214,306
49,2023-05-20,6281,188
50,2023-05-21,9280,278
51,2023-05-22,7797,234
52,2023-05-23,3067,92
53,2023-05-24,1167,35
54,2023-05-25,1085,33
55,2023-05-26,5575,167
56,2023-05-27,4377,131
57,2023-05-28,4131,124
58,2023-05-29,6880,206
59,2023-05-30,2332,70
60,2023-05-31,11977,359
