No.,x,y,z
1,178,100,33
2,185,90,22
3,190,90,29
4,175,79,27
5,185,81,29
6,196,106,30
7,188,100,31
8,186,87,23
9,188,84,19
10,182,77,31
11,180,82,19
12,176,82,30
13,186,85,25
14,178,88,31
15,177,77,26
16,180,77,35
17,187,108,25
18,175,68,26
19,177,78,39
20,193,105,25
21,186,96,24
22,174,78,32
23,178,85,26
24,177,81,18
25,175,81,27
26,182,86,18
27,183,80,19
28,179,93,27
29,173,74,24
30,182,84,24
31,180,89,27
32,178,80,27
33,178,85,23
34,168,69,24
35,189,90,18
36,174,74,24
37,172,72,20
38,184,74,25
39,185,88,28
40,173,72,29
41,172,75,18
42,183,78,25
43,190,84,19
44,183,83,23
45,180,80,36
46,175,77,28
47,172,96,20
48,182,90,29
49,185,92,27
50,174,79,25
51,178,82,29
52,178,83,30
53,180,73,22
54,178,76,23
55,180,93,25
56,180,74,23
57,181,85,25
58,173,75,24
59,177,86,22
60,181,75,25
61,173,73,39
62,180,79,23
63,183,85,24
64,180,75,30
65,175,75,37
66,185,85,21
67,185,86,24
68,175,73,25
69,178,73,18
70,178,85,32
71,172,70,30
72,178,87,22
73,177,85,35
74,174,82,22
75,171,75,26
76,176,78,24
77,185,85,33
78,179,80,30
79,180,96,23
80,175,79,30
81,185,82,23
82,180,93,24
83,184,85,17
