ID,花の名前（ひらがな）,花の名前（カタカナ）,花の名前（漢字）,分類,学名
1,さいこくみつばつつじ,サイコクミツバツツジ,西国三葉躑躅,ツツジ科 ツツジ属,Rhododendron nudipes
2,さいはいらん,サイハイラン,采配蘭,ラン科 サイハイラン属,Cremastra appendiculata
3,さがみじょうろうほととぎす,サガミジョウロウホトトギス,相模上臈杜鵑草,ユリ科 ホトトギス属,Tricyrtis ishiiana
4,さかわさいしん,サカワサイシン,佐川細辛,ウマノスズクサ科 カンアオイ属,Asarum sakawanum
5,さぎごけ,サギゴケ,鷺苔,ゴマノハグサ科 サギゴケ属,Mazus miquelii f. albiflorus
6,さきしふらが・ぱにくらた,サキシフラガ・パニクラタ,-,ユキノシタ科 ユキノシタ属,Saxifraga paniculata
7,さきしまつつじ,サキシマツツジ,先島躑躅,ツツジ科 ツツジ属,Rhododendron amanoi
8,さきしまふよう,サキシマフヨウ,先島芙蓉,アオイ科 フヨウ属,Hibiscus makinoi
9,さぎすげ,サギスゲ,鷺菅,カヤツリグサ科 ワタスゲ属,Eriophorum gracile
10,さぎそう,サギソウ,鷺草,ラン科 ミズトンボ属,Habenaria radiata
11,さくゆり,サクユリ,作百合,ユリ科 ユリ属,Lilium auratum var. platyphyllum
12,さくらそう,サクラソウ,桜草,サクラソウ科 サクラソウ属,Primula sieboldii
13,さくらたで,サクラタデ,桜蓼,タデ科 イヌタデ属,Persicaria conspicua
14,さくらつつじ,サクラツツジ,桜躑躅,ツツジ科 ツツジ属,Rhododendron tashiroi
15,さくらばら,サクラバラ,桜薔薇,バラ科 バラ属,Rosa uchiyama
16,さくららん,サクララン,桜蘭,ガガイモ科 サクララン属,Hoya carnosa
17,ささがにゆり,ササガニユリ,笹蟹百合,ヒガンバナ科 ヒメノカリス属,Hymenocallis speciosa
18,ささげ,ササゲ,大角豆,"	マメ科 ササゲ属",Vigna unguiculata
19,ささばぎんらん,ササバギンラン,笹葉銀蘭,ラン科 キンラン属,Cephalanthera longibracteata
20,さざんくろす(くろうえあ),サザンクロス(クロウエア),-,ミカン科 クロウエア属,Crowea exalata
21,さじおもだか,サジオモダカ,匙沢瀉,"	オモダカ科 サジオモダカ属",Alisma plantago-aquatica var. orientale
22,さそりらん,サソリラン,蠍蘭,ラン科 アラクニス属,Arachnis longisepala
23,ささゆり,ササユリ,笹百合,ユリ科 ユリ属,Lilium japonicum
24,さざんか,サザンカ,山茶花,ツバキ科 ツバキ属,Camellia sasanqua
25,さつき,サツキ,皐月,"	ツツジ科 ツツジ属",Rhododendron indicum
26,さっこうふじ,サッコウフジ,醋甲藤,マメ科 ナツフジ属,Millettia reticulata
27,さつまのぎく(さつまのじぎく),サツマノギク(サツマノジギク),薩摩野菊,キク科 キク属,Chrysanthemum ornatum
28,さつまはぎ,サツマハギ,薩摩萩,マメ科 ハギ属,Lespedeza thunbergii var. satsumensis
29,さばくのばら,サバクノバラ,砂漠の薔薇,キョウチクトウ科 アデニウム属,Adenium obesum
30,さふらん(あきざきくろっかす),サフラン(アキザキクロッカス),-,"	アヤメ科 サフラン属",Crocus sativus
