ID,Activity,Date
101,21,2023-06-30 18:09:29
101,21,2023-06-30 18:10:42
75,21,2023-06-30 22:24:30
75,21,2023-06-30 22:26:54
75,21,2023-06-30 22:32:25
79,21,2023-07-01 13:24:06
70,21,2023-07-01 13:43:11
70,21,2023-07-01 13:43:52
70,12,2023-07-01 13:48:19
70,21,2023-07-01 13:48:28
79,21,2023-07-01 20:22:07
75,21,2023-07-02 19:04:26
72,21,2023-07-02 20:24:22
72,21,2023-07-02 20:29:26
77,21,2023-07-03 08:46:51
77,21,2023-07-03 08:48:27
77,12,2023-07-03 08:52:00
77,12,2023-07-03 08:52:04
83,21,2023-07-03 08:55:39
77,22,2023-07-03 09:16:40
77,12,2023-07-03 09:16:50
77,12,2023-07-03 09:16:54
83,21,2023-07-03 09:33:17
83,21,2023-07-03 09:35:44
73,21,2023-07-03 09:38:37
73,21,2023-07-03 09:39:22
73,21,2023-07-03 09:44:42
73,21,2023-07-03 09:45:12
73,21,2023-07-03 09:46:36
83,21,2023-07-03 09:49:34
74,21,2023-07-03 10:41:35
74,21,2023-07-03 10:55:08
77,22,2023-07-03 11:16:43
77,21,2023-07-03 12:33:05
69,21,2023-07-03 13:17:23
69,21,2023-07-03 13:18:18
111,21,2023-07-03 13:32:00
111,21,2023-07-03 13:32:21
111,21,2023-07-03 13:32:40
69,21,2023-07-03 15:56:36
75,21,2023-07-03 17:53:44
75,21,2023-07-03 17:54:47
75,21,2023-07-03 17:55:08
83,21,2023-07-04 01:56:58
83,21,2023-07-04 02:15:55
77,21,2023-07-04 09:02:50
77,21,2023-07-04 09:08:20
77,21,2023-07-04 09:08:55
77,21,2023-07-04 09:44:31
84,21,2023-07-04 09:45:29
77,21,2023-07-04 09:45:53
116,21,2023-07-04 09:45:55
84,21,2023-07-04 09:46:01
77,12,2023-07-04 10:01:22
77,12,2023-07-04 10:01:45
84,12,2023-07-04 10:06:05
70,12,2023-07-04 10:06:05
116,12,2023-07-04 10:06:20
79,21,2023-07-04 11:09:38
79,21,2023-07-04 11:10:09
79,21,2023-07-04 11:10:20
79,21,2023-07-04 11:10:25
65,21,2023-07-04 11:41:21
65,12,2023-07-04 11:45:40
75,21,2023-07-04 13:34:27
65,21,2023-07-04 13:40:08
83,21,2023-07-04 13:49:08
83,21,2023-07-04 13:54:12
75,21,2023-07-04 14:16:38
83,21,2023-07-04 15:44:34
83,12,2023-07-04 15:45:18
83,21,2023-07-04 15:45:41
67,21,2023-07-04 16:24:36
78,21,2023-07-04 16:49:28
75,21,2023-07-04 17:14:08
102,21,2023-07-04 17:27:52
77,21,2023-07-04 17:28:18
83,12,2023-07-04 17:29:52
83,12,2023-07-04 17:29:59
75,31,2023-07-04 20:36:16
75,40,2023-07-04 20:36:16
75,46,2023-07-04 20:36:16
79,13,2023-07-04 21:02:17
73,13,2023-07-04 21:18:03
75,13,2023-07-04 21:31:12
75,13,2023-07-04 21:43:17
111,31,2023-07-04 23:08:03
111,40,2023-07-04 23:08:03
111,46,2023-07-04 23:08:03
79,22,2023-07-05 08:32:22
72,22,2023-07-05 08:44:31
83,22,2023-07-05 08:45:39
65,22,2023-07-05 09:23:15
69,13,2023-07-05 13:30:28
69,31,2023-07-05 13:52:38
69,40,2023-07-05 13:52:38
69,46,2023-07-05 13:52:38
69,2,2023-07-06 08:41:35
69,1,2023-07-06 08:50:32
69,2,2023-07-06 08:50:43
77,13,2023-07-06 16:27:08
77,13,2023-07-06 16:27:17
77,31,2023-07-06 16:34:19
77,40,2023-07-06 16:34:19
77,42,2023-07-06 16:34:19
77,43,2023-07-06 16:34:19
77,46,2023-07-06 16:34:19
72,22,2023-07-06 17:12:00
79,13,2023-07-06 18:03:09
79,13,2023-07-06 18:34:15
67,31,2023-07-07 09:14:02
67,40,2023-07-07 09:14:02
67,46,2023-07-07 09:14:02
101,31,2023-07-07 11:19:20
101,40,2023-07-07 11:19:20
101,46,2023-07-07 11:19:20
107,13,2023-07-07 13:01:06
79,13,2023-07-07 15:17:59
69,1,2023-07-07 15:36:44
69,1,2023-07-07 15:36:52
79,13,2023-07-07 16:17:00
79,13,2023-07-07 16:41:46
70,31,2023-07-07 18:02:39
70,46,2023-07-07 18:02:39
116,31,2023-07-07 18:03:59
116,40,2023-07-07 18:03:59
116,46,2023-07-07 18:03:59
65,13,2023-07-07 18:15:53
79,13,2023-07-07 18:49:43
101,3,2023-07-08 10:55:34
79,31,2023-07-09 12:19:52
79,40,2023-07-09 12:19:52
79,46,2023-07-09 12:19:52
79,3,2023-07-09 12:20:52
79,1,2023-07-09 12:21:16
79,1,2023-07-09 12:25:00
79,3,2023-07-09 12:41:42
79,1,2023-07-09 12:42:48
79,1,2023-07-09 12:42:53
79,3,2023-07-09 12:43:12
73,13,2023-07-09 13:31:40
73,13,2023-07-09 13:32:01
73,14,2023-07-09 13:33:51
73,31,2023-07-09 13:34:52
73,40,2023-07-09 13:34:52
73,41,2023-07-09 13:34:52
73,3,2023-07-09 13:36:39
83,31,2023-07-09 15:54:27
83,40,2023-07-09 15:54:27
83,41,2023-07-09 15:54:27
83,46,2023-07-09 15:54:27
75,13,2023-07-09 21:42:29
75,31,2023-07-09 21:46:07
75,40,2023-07-09 21:46:07
75,41,2023-07-09 21:46:07
79,31,2023-07-09 22:02:02
79,40,2023-07-09 22:02:02
79,46,2023-07-09 22:02:02
116,2,2023-07-10 08:17:41
65,31,2023-07-10 08:48:01
79,46,2023-07-10 08:48:01
116,3,2023-07-10 09:15:46
79,31,2023-07-10 09:27:12
79,40,2023-07-10 09:27:12
79,41,2023-07-10 09:27:12
79,43,2023-07-10 09:27:12
79,46,2023-07-10 09:27:12
67,2,2023-07-10 09:37:03
79,3,2023-07-10 10:20:12
70,31,2023-07-10 10:42:49
70,46,2023-07-10 10:42:49
69,2,2023-07-10 13:27:32
79,3,2023-07-11 10:20:27
79,3,2023-07-11 10:20:36
79,14,2023-07-11 10:29:23
79,3,2023-07-11 10:29:32
69,1,2023-07-11 11:04:11
69,3,2023-07-11 11:23:15
65,31,2023-07-11 15:21:14
65,40,2023-07-11 15:21:14
65,46,2023-07-11 15:21:14
79,2,2023-07-12 08:43:54
79,1,2023-07-12 08:44:29
79,20,2023-07-12 08:52:31
79,1,2023-07-12 08:56:53
79,3,2023-07-12 09:07:20
79,2,2023-07-12 09:07:46
75,31,2023-07-12 09:50:51
75,40,2023-07-12 09:50:51
75,46,2023-07-12 09:50:51
83,13,2023-07-12 10:23:14
115,31,2023-07-12 11:38:41
115,40,2023-07-12 11:38:41
