,date,steps,kcal
0,2023-04-01,1166,35
1,2023-04-02,12746,382
2,2023-04-03,7911,237
3,2023-04-04,4390,132
4,2023-04-05,13479,404
5,2023-04-06,5667,170
6,2023-04-07,1677,50
7,2023-04-08,13287,399
8,2023-04-09,2633,79
9,2023-04-10,3464,104
10,2023-04-11,12350,371
11,2023-04-12,1401,42
12,2023-04-13,10677,320
13,2023-04-14,8522,256
14,2023-04-15,5192,156
15,2023-04-16,3685,111
16,2023-04-17,13648,409
17,2023-04-18,5943,178
18,2023-04-19,14510,435
19,2023-04-20,12420,373
20,2023-04-21,14918,448
21,2023-04-22,1509,45
22,2023-04-23,12737,382
23,2023-04-24,13949,418
24,2023-04-25,7063,212
25,2023-04-26,6050,182
26,2023-04-27,12808,384
27,2023-04-28,8753,263
28,2023-04-29,10898,327
29,2023-04-30,105,3
