date,steps,kcal
2023/8/1,511,15
2023/8/2,77,2
2023/8/3,12215,366
2023/8/4,14462,434
2023/8/5,10230,307
2023/8/6,1966,59
2023/8/7,8197,246
2023/8/8,11403,342
2023/8/9,12203,366
2023/8/10,4717,142
2023/8/11,1090,33
2023/8/12,10737,322
2023/8/13,9248,277
2023/8/14,5664,170
2023/8/15,11057,332
2023/8/16,14689,441
2023/8/17,1378,41
2023/8/18,8801,264
2023/8/19,10719,322
2023/8/20,10812,324
2023/8/21,5439,163
2023/8/22,7293,219
2023/8/23,431,13
2023/8/24,11387,342
2023/8/25,8997,270
2023/8/26,11104,333
2023/8/27,13032,391
2023/8/28,759,23
2023/8/29,12233,367
2023/8/30,13238,397
2023/8/31,4415,132
