date,steps,kcal
2023/12/1,11456,344
2023/12/2,10013,300
2023/12/3,844,25
2023/12/4,13302,399
2023/12/5,6833,205
2023/12/6,14960,449
2023/12/7,2927,88
2023/12/8,13355,401
2023/12/9,18,1
2023/12/10,9578,287
2023/12/11,5900,177
2023/12/12,4960,149
2023/12/13,4333,130
2023/12/14,14019,421
2023/12/15,12826,385
2023/12/16,1731,52
2023/12/17,7136,214
2023/12/18,12733,382
2023/12/19,12903,387
2023/12/20,5166,155
2023/12/21,7550,227
2023/12/22,3826,115
2023/12/23,8923,268
2023/12/24,247,7
2023/12/25,13233,397
2023/12/26,452,14
2023/12/27,11646,349
2023/12/28,9938,298
2023/12/29,8504,255
2023/12/30,10679,320
2023/12/31,2963,89
