date,steps,kcal
2023/6/1,3777,113
2023/6/2,8834,265
2023/6/3,243,7
2023/6/4,5581,167
2023/6/5,934,28
2023/6/6,11825,355
2023/6/7,3338,100
2023/6/8,5320,160
2023/6/9,10001,300
2023/6/10,5502,165
2023/6/11,2992,90
2023/6/12,3701,111
2023/6/13,4871,146
2023/6/14,5058,152
2023/6/15,856,26
2023/6/16,1265,38
2023/6/17,3001,90
2023/6/18,11403,342
2023/6/19,11689,351
2023/6/20,6641,199
2023/6/21,2887,87
2023/6/22,6808,204
2023/6/23,1685,51
2023/6/24,3315,99
2023/6/25,11023,331
2023/6/26,14584,438
2023/6/27,10176,305
2023/6/28,9829,295
2023/6/29,12846,385
2023/6/30,6047,181
