date,steps,kcal
2023/10/1,10042,301
2023/10/2,2359,71
2023/10/3,12450,374
2023/10/4,13903,417
2023/10/5,12455,374
2023/10/6,193,6
2023/10/7,6013,180
2023/10/8,9595,288
2023/10/9,11429,343
2023/10/10,12284,369
2023/10/11,3359,101
2023/10/12,13063,392
2023/10/13,365,11
2023/10/14,4944,148
2023/10/15,835,25
2023/10/16,8677,260
2023/10/17,4961,149
2023/10/18,11476,344
2023/10/19,9788,294
2023/10/20,7814,234
2023/10/21,14091,423
2023/10/22,7402,222
2023/10/23,2036,61
2023/10/24,10172,305
2023/10/25,14196,426
2023/10/26,6269,188
2023/10/27,12648,379
2023/10/28,262,8
2023/10/29,4200,126
2023/10/30,10233,307
2023/10/31,2128,64
