date,steps,kcal
2023/9/1,6524,196
2023/9/2,10573,317
2023/9/3,8745,262
2023/9/4,2950,89
2023/9/5,603,18
2023/9/6,14420,433
2023/9/7,6253,188
2023/9/8,6577,197
2023/9/9,3847,115
2023/9/10,11774,353
2023/9/11,11945,358
2023/9/12,12774,383
2023/9/13,3130,94
2023/9/14,6413,192
2023/9/15,937,28
2023/9/16,14124,424
2023/9/17,4231,127
2023/9/18,7722,232
2023/9/19,9258,278
2023/9/20,12174,365
2023/9/21,4939,148
2023/9/22,10451,314
2023/9/23,8992,270
2023/9/24,2192,66
2023/9/25,12883,386
2023/9/26,7909,237
2023/9/27,11458,344
2023/9/28,7385,222
2023/9/29,9730,292
2023/9/30,8377,251
