date,steps,kcal
2023/4/1,1166,35
2023/4/2,12746,382
2023/4/3,7911,237
2023/4/4,4390,132
2023/4/5,13479,404
2023/4/6,5667,170
2023/4/7,1677,50
2023/4/8,13287,399
2023/4/9,2633,79
2023/4/10,3464,104
2023/4/11,12350,371
2023/4/12,1401,42
2023/4/13,10677,320
2023/4/14,8522,256
2023/4/15,5192,156
2023/4/16,3685,111
2023/4/17,13648,409
2023/4/18,5943,178
2023/4/19,14510,435
2023/4/20,12420,373
2023/4/21,14918,448
2023/4/22,1509,45
2023/4/23,12737,382
2023/4/24,13949,418
2023/4/25,7063,212
2023/4/26,6050,182
2023/4/27,12808,384
2023/4/28,8753,263
2023/4/29,10898,327
2023/4/30,105,3
2023/5/1,2380,71
2023/5/2,12565,377
2023/5/3,32,1
2023/5/4,13075,392
2023/5/5,12069,362
2023/5/6,12440,373
2023/5/7,1054,32
2023/5/8,12803,384
2023/5/9,7781,233
2023/5/10,6564,197
2023/5/11,271,8
2023/5/12,9661,290
2023/5/13,12549,376
2023/5/14,8393,252
2023/5/15,10749,322
2023/5/16,5848,175
2023/5/17,11054,332
2023/5/18,10000,300
2023/5/19,10214,306
2023/5/20,6281,188
2023/5/21,9280,278
2023/5/22,7797,234
2023/5/23,3067,92
2023/5/24,1167,35
2023/5/25,1085,33
2023/5/26,5575,167
2023/5/27,4377,131
2023/5/28,4131,124
2023/5/29,6880,206
2023/5/30,2332,70
2023/5/31,11977,359
2023/6/1,3777,113
2023/6/2,8834,265
2023/6/3,243,7
2023/6/4,5581,167
2023/6/5,934,28
2023/6/6,11825,355
2023/6/7,3338,100
2023/6/8,5320,160
2023/6/9,10001,300
2023/6/10,5502,165
2023/6/11,2992,90
2023/6/12,3701,111
2023/6/13,4871,146
2023/6/14,5058,152
2023/6/15,856,26
2023/6/16,1265,38
2023/6/17,3001,90
2023/6/18,11403,342
2023/6/19,11689,351
2023/6/20,6641,199
2023/6/21,2887,87
2023/6/22,6808,204
2023/6/23,1685,51
2023/6/24,3315,99
2023/6/25,11023,331
2023/6/26,14584,438
2023/6/27,10176,305
2023/6/28,9829,295
2023/6/29,12846,385
2023/6/30,6047,181
2023/7/1,5759,173
2023/7/2,7841,235
2023/7/3,613,18
2023/7/4,4622,139
2023/7/5,11747,352
2023/7/6,10904,327
2023/7/7,14022,421
2023/7/8,59,2
2023/7/9,2273,68
2023/7/10,4516,135
2023/7/11,7884,237
2023/7/12,10563,317
2023/7/13,14056,422
2023/7/14,5188,156
2023/7/15,7907,237
2023/7/16,8791,264
2023/7/17,5302,159
2023/7/18,2469,74
2023/7/19,4566,137
2023/7/20,3635,109
2023/7/21,11525,346
2023/7/22,13166,395
2023/7/23,2976,89
2023/7/24,6842,205
2023/7/25,7360,221
2023/7/26,953,29
2023/7/27,12999,390
2023/7/28,13280,398
2023/7/29,9015,270
2023/7/30,10922,328
2023/7/31,8330,250
2023/8/1,511,15
2023/8/2,77,2
2023/8/3,12215,366
2023/8/4,14462,434
2023/8/5,10230,307
2023/8/6,1966,59
2023/8/7,8197,246
2023/8/8,11403,342
2023/8/9,12203,366
2023/8/10,4717,142
2023/8/11,1090,33
2023/8/12,10737,322
2023/8/13,9248,277
2023/8/14,5664,170
2023/8/15,11057,332
2023/8/16,14689,441
2023/8/17,1378,41
2023/8/18,8801,264
2023/8/19,10719,322
2023/8/20,10812,324
2023/8/21,5439,163
2023/8/22,7293,219
2023/8/23,431,13
2023/8/24,11387,342
2023/8/25,8997,270
2023/8/26,11104,333
2023/8/27,13032,391
2023/8/28,759,23
2023/8/29,12233,367
2023/8/30,13238,397
2023/8/31,4415,132
2023/9/1,6524,196
2023/9/2,10573,317
2023/9/3,8745,262
2023/9/4,2950,89
2023/9/5,603,18
2023/9/6,14420,433
2023/9/7,6253,188
2023/9/8,6577,197
2023/9/9,3847,115
2023/9/10,11774,353
2023/9/11,11945,358
2023/9/12,12774,383
2023/9/13,3130,94
2023/9/14,6413,192
2023/9/15,937,28
