date,steps,kcal
2023/4/1,1166,35
2023/4/2,12746,382
2023/4/3,7911,237
2023/4/4,4390,132
2023/4/5,13479,404
2023/4/6,5667,170
2023/4/7,1677,50
2023/4/8,13287,399
2023/4/9,2633,79
2023/4/10,3464,104
2023/4/11,12350,371
2023/4/12,1401,42
2023/4/13,10677,320
2023/4/14,8522,256
2023/4/15,5192,156
2023/4/16,3685,111
2023/4/17,13648,409
2023/4/18,5943,178
2023/4/19,14510,435
2023/4/20,12420,373
2023/4/21,14918,448
2023/4/22,1509,45
2023/4/23,12737,382
2023/4/24,13949,418
2023/4/25,7063,212
2023/4/26,6050,182
2023/4/27,12808,384
2023/4/28,8753,263
2023/4/29,10898,327
2023/4/30,105,3
