date,steps,cal
2023/4/1,5439,2500
2023/4/2,2510,2300
2023/4/3,10238,1950
2023/4/4,8209,1850
2023/4/5,9434,1930
2023/4/6,7593,1800
2023/4/7,9320,1940
2023/4/8,4873,2300
2023/4/9,12045,1950
2023/4/10,7493,1850
2023/4/11,7289,1930
2023/4/12,6481,2300
2023/4/13,10287,1800
2023/4/14,8043,1940
2023/4/15,7435,2300
2023/4/16,7529,2300
2023/4/17,8031,1940
2023/4/18,8475,2300
2023/4/19,8132,1950
2023/4/20,15328,1800
2023/4/21,12849,1940
2023/4/22,4029,2300
2023/4/23,3890,1950
2023/4/24,8093,1850
2023/4/25,7823,1950
2023/4/26,7492,1850
2023/4/27,7203,1930
2023/4/28,7302,1850
2023/4/29,6033,2300
2023/4/30,4093,1950
