date,steps,kcal
2024/2/1,3704,111
2024/2/2,11206,336
2024/2/3,9075,272
2024/2/4,4005,120
2024/2/5,11574,347
2024/2/6,9364,281
2024/2/7,725,22
2024/2/8,1313,39
2024/2/9,8277,248
2024/2/10,2791,84
2024/2/11,10821,325
2024/2/12,12308,369
2024/2/13,1093,33
2024/2/14,14644,439
2024/2/15,8961,269
2024/2/16,580,17
2024/2/17,4370,131
2024/2/18,13390,402
2024/2/19,12857,386
2024/2/20,2811,84
2024/2/21,2070,62
2024/2/22,11986,360
2024/2/23,4595,138
2024/2/24,4982,149
2024/2/25,7936,238
2024/2/26,6451,194
2024/2/27,2971,89
2024/2/28,4905,147
2024/2/29,13846,415
